point_name;commune;village;latitude;longitude;installation_date;meter_type;connection_type;status;reading_date;meter_index;revenue_fcfa;recorded_by;notes
Borne Fontaine Sikasso Centre;Sikasso;Sikasso;11.3176;-5.6756;15/03/2022;Mechanical;Borne Fontaine;active;15/01/2024;47850;9500;Amadou Traoré;
Borne Fontaine Sikasso Centre;Sikasso;Sikasso;11.3176;-5.6756;15/03/2022;Mechanical;Borne Fontaine;active;15/02/2024;47869;9500;Amadou Traoré;
Borne Fontaine Sikasso Centre;Sikasso;Sikasso;11.3176;-5.6756;15/03/2022;Mechanical;Borne Fontaine;active;15/03/2024;47889;10000;Amadou Traoré;
Borne Fontaine Sikasso Centre;Sikasso;Sikasso;11.3176;-5.6756;15/03/2022;Mechanical;Borne Fontaine;active;15/04/2024;47908;9500;Amadou Traoré;
Borne Fontaine Sikasso Centre;Sikasso;Sikasso;11.3176;-5.6756;15/03/2022;Mechanical;Borne Fontaine;active;15/05/2024;47930;11000;Amadou Traoré;
Borne Fontaine Sikasso Centre;Sikasso;Sikasso;11.3176;-5.6756;15/03/2022;Mechanical;Borne Fontaine;active;15/06/2024;47948;9000;Amadou Traoré;
Borne Fontaine Sikasso Centre;Sikasso;Sikasso;11.3176;-5.6756;15/03/2022;Mechanical;Borne Fontaine;active;15/07/2024;47969;10500;Amadou Traoré;
Connexion Privée Kaboila 1;Kaboila;Kaboila;11.2845;-5.7123;20/11/2021;Digital;Connexion Privée;active;20/01/2024;33980;2500;Fatoumata Keita;
Connexion Privée Kaboila 1;Kaboila;Kaboila;11.2845;-5.7123;20/11/2021;Digital;Connexion Privée;active;20/02/2024;33985;2500;Fatoumata Keita;
Connexion Privée Kaboila 1;Kaboila;Kaboila;11.2845;-5.7123;20/11/2021;Digital;Connexion Privée;active;20/03/2024;33991;3000;Fatoumata Keita;
Connexion Privée Kaboila 1;Kaboila;Kaboila;11.2845;-5.7123;20/11/2021;Digital;Connexion Privée;active;20/04/2024;33996;2500;Fatoumata Keita;
Connexion Privée Kaboila 1;Kaboila;Kaboila;11.2845;-5.7123;20/11/2021;Digital;Connexion Privée;active;20/05/2024;34002;3000;Fatoumata Keita;
Connexion Privée Kaboila 1;Kaboila;Kaboila;11.2845;-5.7123;20/11/2021;Digital;Connexion Privée;active;20/06/2024;34007;2500;Fatoumata Keita; 
Connexion Privée Kaboila 1;Kaboila;Kaboila;11.2845;-5.7123;20/11/2021;Digital;Connexion Privée;active;20/07/2024;34013;3000;Fatoumata Keita;
Borne Fontaine Pimperna;Pimperna;Pimperna;11.4012;-5.5234;10/01/2023;Smart;Borne Fontaine;active;10/01/2024;15890;13500;Seydou Diarra;
Borne Fontaine Pimperna;Pimperna;Pimperna;11.4012;-5.5234;10/01/2023;Smart;Borne Fontaine;active;10/02/2024;15917;13500;Seydou Diarra;
Borne Fontaine Pimperna;Pimperna;Pimperna;11.4012;-5.5234;10/01/2023;Smart;Borne Fontaine;active;10/03/2024;15946;14500;Seydou Diarra;
Borne Fontaine Pimperna;Pimperna;Pimperna;11.4012;-5.5234;10/01/2023;Smart;Borne Fontaine;maintenance;10/04/2024;15946;0;Seydou Diarra;Pompe en panne
Borne Fontaine Pimperna;Pimperna;Pimperna;11.4012;-5.5234;10/01/2023;Smart;Borne Fontaine;maintenance;10/05/2024;15948;1000;Seydou Diarra;Réparation partielle
Borne Fontaine Pimperna;Pimperna;Pimperna;11.4012;-5.5234;10/01/2023;Smart;Borne Fontaine;active;10/06/2024;15984;18000;Seydou Diarra;Remis en service
Borne Fontaine Pimperna;Pimperna;Pimperna;11.4012;-5.5234;10/01/2023;Smart;Borne Fontaine;active;10/07/2024;16013;14500;Seydou Diarra;
Connexion Privée Finkolo 2;Finkolo;Finkolo Gare;11.2567;-5.8901;05/08/2020;Mechanical;Connexion Privée;active;25/01/2024;30690;3000;Sekou Coulibaly;
Connexion Privée Finkolo 2;Finkolo;Finkolo Gare;11.2567;-5.8901;05/08/2020;Mechanical;Connexion Privée;active;25/02/2024;30696;3000;Sekou Coulibaly;
Connexion Privée Finkolo 2;Finkolo;Finkolo Gare;11.2567;-5.8901;05/08/2020;Mechanical;Connexion Privée;active;25/03/2024;30703;3500;Sekou Coulibaly;
Connexion Privée Finkolo 2;Finkolo;Finkolo Gare;11.2567;-5.8901;05/08/2020;Mechanical;Connexion Privée;active;25/04/2024;30709;3000;Sekou Coulibaly;
Connexion Privée Finkolo 2;Finkolo;Finkolo Gare;11.2567;-5.8901;05/08/2020;Mechanical;Connexion Privée;active;25/05/2024;30716;3500;Sekou Coulibaly;
Connexion Privée Finkolo 2;Finkolo;Finkolo Gare;11.2567;-5.8901;05/08/2020;Mechanical;Connexion Privée;active;25/06/2024;30722;3000;Sekou Coulibaly;
Connexion Privée Finkolo 2;Finkolo;Finkolo Gare;11.2567;-5.8901;05/08/2020;Mechanical;Connexion Privée;active;25/07/2024;30729;3500;Sekou Coulibaly;
Borne Fontaine Blendio;Blendio;Blendio Centre;11.3789;-5.4567;22/07/2022;Digital;Borne Fontaine;inactive;30/01/2024;18950;0;Mariam Sidibé;Hors service
Borne Fontaine Blendio;Blendio;Blendio Centre;11.3789;-5.4567;22/07/2022;Digital;Borne Fontaine;inactive;28/02/2024;18950;0;Mariam Sidibé;Hors service
Borne Fontaine Blendio;Blendio;Blendio Centre;11.3789;-5.4567;22/07/2022;Digital;Borne Fontaine;inactive;30/03/2024;18952;1000;Mariam Sidibé;Test maintenance
Borne Fontaine Blendio;Blendio;Blendio Centre;11.3789;-5.4567;22/07/2022;Digital;Borne Fontaine;inactive;30/04/2024;18952;0;Mariam Sidibé;Hors service
Borne Fontaine Blendio;Blendio;Blendio Centre;11.3789;-5.4567;22/07/2022;Digital;Borne Fontaine;inactive;30/05/2024;18952;0;Mariam Sidibé;Hors service
Borne Fontaine Blendio;Blendio;Blendio Centre;11.3789;-5.4567;22/07/2022;Digital;Borne Fontaine;inactive;30/06/2024;18952;0;Mariam Sidibé;Hors service
Borne Fontaine Blendio;Blendio;Blendio Centre;11.3789;-5.4567;22/07/2022;Digital;Borne Fontaine;inactive;30/07/2024;18952;0;Mariam Sidibé;Hors service
Connexion Privée Yanfolila 3;Yanfolila;Yanfolila;11.1667;-8.1333;12/05/2021;Mechanical;Connexion Privée;active;18/01/2024;23650;2500;Ibrahim Cissé;
Connexion Privée Yanfolila 3;Yanfolila;Yanfolila;11.1667;-8.1333;12/05/2021;Mechanical;Connexion Privée;active;18/02/2024;23655;2500;Ibrahim Cissé;
